secs in Event,TrackName,Event,MidiChannel,Note,
0,main guitar,Note Off,0,g#5,
0.105485166666667,main guitar,Note On,0,b4,
0,main guitar,Note On,0,b3,
0,main guitar,Note On,0,b5,
0.105485166666667,main guitar,Note Off,0,b4,
0,main guitar,Note Off,0,b3,
0,main guitar,Note Off,0,b5,
0.0527425833333333,main guitar,Note On,0,a4,
0,main guitar,Note On,0,a3,
0,main guitar,Note On,0,a5,
0.210970333333333,main guitar,Note Off,0,a4,
0,main guitar,Note Off,0,a3,
0,main guitar,Note Off,0,a5,
0.105485166666667,main guitar,Note On,0,b4,
0,main guitar,Note On,0,b3,
0,main guitar,Note On,0,b5,
0.105485166666667,main guitar,Note Off,0,b4,
0,main guitar,Note Off,0,b3,
0,main guitar,Note Off,0,b5,
0.0527425833333333,main guitar,Note On,0,a#4,
0,main guitar,Note On,0,a#3,
0,main guitar,Note On,0,a#5,
0.210970333333333,main guitar,Note Off,0,a#4,
0,main guitar,Note Off,0,a#3,
0,main guitar,Note Off,0,a#5,
0.105485166666667,main guitar,Note On,0,b4,
0,main guitar,Note On,0,b3,
0,main guitar,Note On,0,b5,
0.105485166666667,main guitar,Note Off,0,b4,
0,main guitar,Note Off,0,b3,
0,main guitar,Note Off,0,b5,
0.0527425833333333,main guitar,Note On,0,a#4,
0,main guitar,Note On,0,a#3,
0,main guitar,Note On,0,a#5,
0.105485166666667,main guitar,Note Off,0,a#4,
0,main guitar,Note Off,0,a#3,
0,main guitar,Note Off,0,a#5,
0.0527425833333333,main guitar,Note On,0,b4,
0,main guitar,Note On,0,b3,
0,main guitar,Note On,0,b5,
0.105485166666667,main guitar,Note Off,0,b4,
0,main guitar,Note Off,0,b3,
0,main guitar,Note Off,0,b5,
0.0461497604166667,main guitar,Note On,0,a5,
0,main guitar,Note On,0,e6,
0.00659282291666667,main guitar,Note Off,0,a5,
0,main guitar,Note Off,0,e6,
0.3560124375,main guitar,Note On,0,a5,
0,main guitar,Note On,0,e5,
0,main guitar,Note On,0,a6,
0,main guitar,Note On,0,e6,
0.0263712916666667,main guitar,Note On,0,a4,
0,main guitar,Note On,0,a5,
0.309862677083333,main guitar,Note Off,0,a5,
0,main guitar,Note Off,0,a6,
